TRADE_ID,PRICE,QUANTITY,BUYER_ORDER_ID,SELLER_ORDER_ID,TRADE_TIME,IS_BUYER_MARKET_MAKER,TRADE_YEAR,TRADE_MONTH,TRADE_DAY,TRADE_HOUR,TRADE_MINUTE,TRADE_SECOND
3234644140,0.721423033853057,0.00010076376901280005,22680783194,22680783014,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644141,0.721423033853057,0.0006961860404520731,22680783194,22680783038,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644142,0.721423033853057,0.0011094192749894144,22680783194,22680783087,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644143,0.721423033853057,0.025645905937530532,22680783194,22680783095,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644144,0.721423033853057,0.00017608214181024656,22680783194,22680783109,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644145,0.721423033853057,0.00010890629580171318,22680783194,22680783129,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644146,0.721423033853057,0.00032264762401068293,22680783194,22680783131,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644147,0.721423033853057,0.02637567990098687,22680783194,22680783162,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644148,0.721423033853057,0.02653242354167345,22680783194,22680783166,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644149,0.721423033853057,0.013857562778881543,22680783194,22680783189,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644150,0.721423033853057,0.00015369019314073542,22680783194,22680783095,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644151,0.721423033853057,0.025491197928541185,22680783196,22680783095,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644152,0.721423033853057,0.02637567990098687,22680783196,22680783162,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644153,0.721423033853057,0.02653242354167345,22680783196,22680783166,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644154,0.721423033853057,0.025645905937530532,22680783196,22680783095,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644155,0.721423033853057,0.02637567990098687,22680783196,22680783162,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644156,0.721423033853057,0.02653242354167345,22680783196,22680783166,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644157,0.721423033853057,0.025645905937530532,22680783196,22680783095,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644158,0.721423033853057,0.02637567990098687,22680783196,22680783162,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644159,0.721423033853057,0.011109459987623358,22680783196,22680783166,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644160,0.721423033853057,0.015421945738201479,22680783198,22680783166,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644161,0.721423033853057,0.025645905937530532,22680783198,22680783095,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644162,0.721423033853057,0.02637567990098687,22680783198,22680783162,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644163,0.721423033853057,0.01817004852945966,22680783198,22680783166,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644164,0.721423033853057,0.008361357196365176,22680783200,22680783166,2023-10-10 12:39:53,0,2023,10,10,12,39,53
